stop_name,parent_station,zone_id,stop_id,stop_desc,stop_lat,stop_lon,location_type,platform_code
ESI Hospital Rajajinagara,,RJNEH,20776,ESI Hospital Rajajinagara (Towards Navarang),12.99041,77.55256,,
ESI Hospital Rajajinagara,,RJNEH,20777,ESI Hospital Rajajinagara (Towards Rajajinagara Old Police Station),12.99069,77.55258,,
ESI Hospital/Brook Steel,,BRK1,21781,ESI Hospital/Brook Steel (Towards Hope Farm),12.9931,77.70535,,
ESI Hospital/Brook Steel,,BRK1,21782,ESI Hospital/Brook Steel (Towards Kempegowda Bus Station),12.99287,77.70549,,
Escorts,,ESRT1,25225,Escorts (Towards Yalahanka NES Office),13.10281,77.58566,,
Escorts,,ESRT1,32598,Escorts (Towards Puttenahalli),13.10271,77.58558,,
Fathima Church,,FMACHR1,21939,Fathima Church (Towards Gangamma Circle),13.05486,77.5414,,
Fathima Church,,FMACHR1,21940,Fathima Church (Towards Jalahalli Cross),13.05472,77.54155,,
Fun World,,MRP1,40515,Fun World (Towards TV Tower),13.0071,77.59236,,
Fun World,,MRP1,40516,Fun World (Towards Munireddypalya),13.00706,77.59259,,
GR Tech Park ITPL,,GRTP,20800,GR Tech Park ITPL (Towards Kempegowda Bus Station),12.98656,77.74344,,
GR Tech Park ITPL,,GRTP,20801,GR Tech Park ITPL (Towards Hope Farm),12.98681,77.74338,,
Ganapathi Nagara Raghavendra Badavane,,GPN1,32622,Ganapathi Nagara Raghavendra Badavane (Towards Janapriya Appartment),13.07897,77.49707,,
Ganga International School,,GIS2,25303,Ganga International School (Towards Nelagadaranahalli),13.02828,77.49633,,
Ganga International School,,GIS2,32632,Ganga International School (Towards Thigalarapalya),13.02824,77.49634,,
Gangadhara Kalyana Mantapa,,GGKMT,25309,Gangadhara Kalyana Mantapa (Towards Chikka Banavara),13.07998,77.51095,,
Gangadhara Kalyana Mantapa,,GGKMT,32635,Gangadhara Kalyana Mantapa (Towards Kere Guddadahalli),13.08002,77.51088,,
Gangamma Circle,,GMC,21946,Gangamma Circle (Towards Kammagondanahali Bridge),13.05663,77.54672,,
Gangamma Circle,,GMC,21947,Gangamma Circle (Towards MS Palya),13.05769,77.54635,,
Gangamma Circle,,GMC,35214,Gangamma Circle (Towards Gangamma Gudi),13.05663,77.54654,,
Gangondanahalli,,GGH8,32643,Gangondanahalli (Towards Madanayakanahalli),13.02164,77.46773,,
Garudacharpalya,,GDRP,21953,Garudacharpalya (Towards Hope Farm),12.99403,77.70158,,
Garudacharpalya,,GDRP,21954,Garudacharpalya (Towards Kempegowda Bus Station),12.99388,77.70172,,
Garudappa Circle Thigalarapalya,,GRDPC1,25345,Garudappa Circle Thigalarapalya (Towards Thigalarapalya),13.01568,77.48413,,
Garudappa Circle Thigalarapalya,,GRDPC1,32651,Garudappa Circle Thigalarapalya (Towards Andrahalli),13.01572,77.48414,,
Geleyara Balaga Layout,,GBLO,25381,Geleyara Balaga Layout (Towards Geleyara Balaga Layout),13.07127,77.50582,,
Geleyara Balaga Layout,,GBLO,32668,Geleyara Balaga Layout (Towards Bagalagunte),13.0712,77.50585,,
Gokula,,GKL,21968,Gokula (Towards Mathikere),13.04152,77.55725,,
Gokula,,GKL,21969,Gokula (Towards BEL Circle),13.04151,77.55722,,
Goraguntepalya,,GGP6,20789,Goraguntepalya (Towards Yashwanthapura ),13.02835,77.54123,,
Goraguntepalya,,GGP6,20790,Goraguntepalya (Towards Jalahalli Cross),13.02895,77.5395,,
Goraguntepalya,,GGP6,21517,Goraguntepalya (Towards BEL Circle),13.02951,77.54012,,
Govardhan Talkies,,GVRDN1,20791,Govardhan Talkies (Towards Jalahalli Cross),13.02,77.55274,,
Govardhan Talkies,,GVRDN1,20792,Govardhan Talkies (Towards Malleshwaram),13.01853,77.55339,,
Govardhan Talkies,,GVRDN1,24360,Govardhan Talkies (Towards Navarang),13.01884,77.55339,,
Govt Primary School Chikkabanavara,,GVTPSL CKB,39483,Govt Primary School Chikkabanavara (Towards Jalahalli Cross),13.08608,77.49713,,
Govt School Thotada Guddadahalli,,GCTLG,20795,Govt School Thotada Guddadahalli (Towards Thammenahalli),13.07009,77.48689,,
Govt Soap Factory,,GVTSF1,20796,Govt Soap Factory (Towards Vijayanagara),13.01309,77.55438,,
Graphite Junction,,JNOFHO,33145,Graphite Junction (Towards Garudacharapalya),12.98515,77.70805,,
Gruhalakshmi Layout,,GLLO,25559,Gruhalakshmi Layout (Towards Thigalarapalya),13.0299,77.50036,,
Gruhalakshmi Layout,,GLLO,32763,Gruhalakshmi Layout (Towards 8th Mile),13.02992,77.50026,,
HAL ARDC,,HARDC,36748,HAL ARDC (Towards Helicopter Division),12.96185,77.68527,,
HAL Admin Gate,,HAL AG,39489,HAL Admin Gate (Towards Marathahalli),12.95813,77.66949,,
HAL Main Gate,,HALMG-1,22003,HAL Main Gate (Towards Marathahalli Bridge),12.95821,77.66821,,
HBR Layout,,HBR1,20815,HBR Layout (Towards Tin Factory),13.03517,77.62857,,
HBR Layout,,HBR1,20816,HBR Layout (Towards Hebbala),13.035,77.62849,,
HMT Auditorium,,HMTATM,22703,HMT Auditorium (Towards BEL Circle),13.04918,77.54503,,
HMT Auditorium,,HMTATM,22708,HMT Auditorium (Towards Jalahalli Cross),13.04921,77.54396,,
HMT Auditorium KIAS,,HMTATM,32923,HMT Auditorium KIAS (Towards Kammagondanahalli),13.04964,77.54275,,
HMT Club House,,HMT,22034,HMT Club House (Towards Gangamma Circle),13.05339,77.55072,,
HMT Club House,,HMT,35215,HMT Club House (Towards BEL Circle),13.05344,77.55074,,
HMT Layout 8th Mile,,HMTLO1,25894,HMT Layout 8th Mile (Towards Nelagadaranahalli),13.03368,77.50415,,
HMT Layout 8th Mile,,HMTLO1,36387,HMT Layout 8th Mile (Towards 8th Mile Dasarahalli),13.03367,77.50411,,
HMT Post Office,,HMTPO1,22709,HMT Post Office (Towards ISRO Quarters),13.05049,77.54109,,
HMT Siddarthanagara,,HMTSDHR,32926,HMT Siddarthanagara (Towards HMT SiddarthaNagara),13.05657,77.52234,,
HMT Watch Factory,,HMTWCH,22700,HMT Watch Factory (Towards Shopping Complex HMT),13.05046,77.53521,,
HMT Watch Factory,,HMTWCH,37125,HMT Watch Factory (Towards Jalahalli Cross),13.05037,77.53523,,
Hebbala Bridge,,HBL5,20823,Hebbala Bridge (Towards Tin Factory),13.04259,77.5925,,
Hebbala Bridge,,HBL5,21527,Hebbala Bridge (Towards BEL Circle),13.04274,77.58967,,
Hegganahalli,,HGHMD1,20824,Hegganahalli (Towards Peenya 2nd Stage),13.00367,77.50454,,
Hegganahalli,,HGHMD1,20825,Hegganahalli (Towards Sunkadakatte),13.00366,77.50462,,
Hegganahalli Cross,,HGHC1,20826,Hegganahalli Cross (Towards Sunkadakatte),12.99971,77.50403,,
Hegganahalli Cross,,HGHC1,20827,Hegganahalli Cross (Towards Jalahalli Cross),12.99977,77.50401,,
Helicopter Division,,HCPD,22021,Helicopter Division (Towards Varthuru),12.95582,77.67735,,
Hennur Junction,,HNRJ1,21522,Hennur Junction (Towards Kalyana Nagara),13.02964,77.63134,,
Hennur Junction,,HNRJ1,21528,Hennur Junction (Towards Hebbala),13.02948,77.63125,,
Herohalli Cross,,HRHC5,32914,Herohalli Cross (Towards Nagarahole Nagara),12.98796,77.49385,,
Herohalli Cross,,HRHC5,37252,Herohalli Cross (Towards Herohalli),12.98749,77.49262,,
Herohalli Cross1,,HRHC5,21523,Herohalli Cross1 (Towards Sunkadakatte),12.98736,77.4924,,
Herohalli Sunkadakatte,,HRHL2,23659,Herohalli Sunkadakatte (Towards Andrahalli),12.99051,77.4876,,
Hesaraghatta,,HGT,20833,Hesaraghatta (Towards Railway Gollahalli),13.13782,77.47938,,
Hesaraghatta,,HGT,35751,Hesaraghatta (Towards Chikka Banavara),13.1379,77.47932,,
Hesaraghatta TB Cross,,HGTTB,20832,Hesaraghatta TB Cross (Towards Hesaraghatta),13.13053,77.48431,,
Hesaraghatta TB Cross,,HGTTB,21531,Hesaraghatta TB Cross (Towards Chikkabanavara),13.13051,77.48441,,
Hiranandani Villas,,HRNI,25886,Hiranandani Villas (Towards Airport Trumpet),13.23888,77.6997,,
Hiranandani Villas,,HRNI,25887,Hiranandani Villas (Towards Devanahalli),13.23894,77.69951,,
Hoodi,,HDI2,22036,Hoodi (Towards ITPL),12.99199,77.71498,,
Hoodi,,HDI2,35198,Hoodi (Towards KR Puram),12.99191,77.7158,,
Hoodi Metro Station,,HDM2,38419,Hoodi Metro Station (Towards Start Point),12.98863,77.7115,,
Hope Farm,,HOFM,20837,Hope Farm (Towards ITPL),12.98382,77.75189,,
Hope Farm,,HOFM,37509,Hope Farm (Towards Kadugodi),12.9843,77.75148,,
Horamavu Signal,,HRMVS1,20838,Horamavu Signal (Towards Tin Factory),13.01966,77.65437,,
Horamavu Signal,,HRMVS1,20839,Horamavu Signal (Towards Hebbala),13.01961,77.65385,,
Hosmat Hospital,,HMSHPT,22058,Hosmat Hospital (Towards HAL ),12.96879,77.61333,,
Hunasamaranahalli,,HNMSR,33001,Hunasamaranahalli (Towards Devanahalli),13.14519,77.6174,,
Hunasamaranahalli,,HNMSR,33002,Hunasamaranahalli (Towards Yalahanka),13.14427,77.61777,,
Hunasemara,,HNSM,21534,Hunasemara (Towards KR Market),12.97532,77.56521,,
Hunasemara,,HNSM,21535,Hunasemara (Towards Magadi Road Tollgate),12.97528,77.56504,,
Hurali Chikkanahalli,,HCH,20847,Hurali Chikkanahalli (Towards Hesarghatta),13.11592,77.48276,,
Hurali Chikkanahalli,,HCH,21536,Hurali Chikkanahalli (Towards Chikkabanavara),13.1159,77.48279,,
IAF Jalahalli,,IAF8,22065,IAF Jalahalli (Towards Jalahalli Cross),13.0536,77.5308,,
IAF Jalahalli,,IAF8,22066,IAF Jalahalli (Towards Gangamma Circle),13.05358,77.53075,,
ISRO Murugeshpalya,,ISROM1,36395,ISRO Murugeshpalya (Towards HAL),12.95961,77.65453,,
ITC Factory,,ITF,26177,ITC Factory (Towards Sadahalli Gate),13.18669,77.64285,,
ITC Factory,,ITF,33055,ITC Factory (Towards Venkatala),13.18644,77.64325,,
ITI Circle,,ITIC-1,22084,ITI Circle (Towards KR Puram),13.0079,77.68338,,
ITI Circle,,ITIC-1,22085,ITI Circle (Towards B Channasandra),13.00782,77.68335,,
ITI Colony Gate,,ITIG1,20863,ITI Colony Gate (Towards Hoskote),13.00532,77.68522,,
ITI Colony Gate,,ITIG1,20864,ITI Colony Gate (Towards Kempegowda Bus Station),13.00503,77.68506,,
ITI Colony Gate,,ITIG1,22086,ITI Colony Gate (Towards B Channasandra),13.00516,77.6849,,
ITPL,,ITPL,20865,ITPL (Towards Kempegowda Bus Station),12.98754,77.73636,,
ITPL,,ITPL,20866,ITPL (Towards Hope Farm),12.98766,77.73704,,
Indian Air Force,,YLAFS,26090,Indian Air Force (Towards Yalahanka),13.13092,77.6153,,
Indian Air Force,,YLAFS,33030,Indian Air Force (Towards Devanahalli),13.13103,77.61503,,
Indian Express,,INDEXP1,20855,Indian Express (Towards Shivaji Nagara),12.98408,77.59827,,
Indian Express,,INDEXP1,20857,Indian Express (Towards MG Road),12.98393,77.5974,,
Indian Express,,INDEXP1,22068,Indian Express (Towards Cunningham Road),12.98421,77.59735,,
Indiranagara,,INDNG,26129,Indiranagara (Towards Thigalarapalya),13.02768,77.4938,,
Indiranagara,,INDNG,33035,Indiranagara (Towards 8th Mile),13.02772,77.4937,,
Jalahalli Bakery,,bkyjh,21461,Jalahalli Bakery (Towards BEL Circle),13.04264,77.54978,,
Jalahalli Bakery,,bkyjh,21539,Jalahalli Bakery (Towards Goraguntepalya),13.04254,77.54977,,
Jalahalli Cross,,JHC3,20867,Jalahalli Cross (Towards Nelamangala),13.03976,77.51853,,
Jalahalli Cross,,JHC3,20869,Jalahalli Cross (Towards Yashwanthapura),13.0399,77.51879,,
Jalahalli Cross,,JHC3,20870,Jalahalli Cross (Towards Peenya 2nd Stage),13.03958,77.51837,,
Jalahalli Cross,,JHC3,22091,Jalahalli Cross (Towards Ayyappa Temple),13.04066,77.51872,,
Jalahalli Cross Metro Station Departure,,JHC3,35866,Jalahalli Cross Metro Station Departure (Towards RMC Yard),13.0396,77.51933,,
Jalahalli East,,JALHE,22092,Jalahalli East (Towards Gangamma Circle),13.06759,77.54464,,
Jalahalli East,,JALHE,22093,Jalahalli East (Towards MS Palya),13.06758,77.54452,,
Jalahalli East 7th Camp,,JHE7C,26259,Jalahalli East 7th Camp (Towards Gangamma Circle),13.07354,77.5465,,
Jalahalli East 7th Camp,,JHE7C,33098,Jalahalli East 7th Camp (Towards MS Palya),13.07354,77.54636,,
Jalahalli Police Station,,JHPSN,22707,Jalahalli Police Station (Towards Jalahalli Cross),13.04889,77.5495,,
Jalahalli Police Station,,JHPSN,37103,Jalahalli Police Station (Towards BEL CIrcle),13.04889,77.55009,,
Jalahalli Village,,JLH1,21540,Jalahalli Village (Towards BEL Circle),13.04179,77.54725,,
Jalahalli Village,,JLH1,21541,Jalahalli Village (Towards Goraguntepalya),13.04165,77.54718,,
Jalahalli West Shettyhalli Road,,JHW,26268,Jalahalli West Shettyhalli Road (Towards Shettyhalli),13.05921,77.52024,,
Jalli Machine,,CHWDC,22096,Jalli Machine (Towards MS Palya),13.08601,77.55551,,
Jalli Machine,,CHWDC,22097,Jalli Machine (Towards Chikkabettahalli),13.08606,77.55537,,
Janapriya Apartment,,JNPA,20872,Janapriya Apartment (Towards Chikka Banavara),13.07349,77.50307,,
Janapriya Apartment,,JNPA,20873,Janapriya Apartment (Towards Bagalagunte),13.07319,77.50318,,
Janapriya Apartment,,JNPAP,26277,Janapriya Apartment (Towards Magadi),12.9888,77.49952,,
Jayamahal,,JML,23792,Jayamahal (Towards Shivaji Nagara),13.00182,77.59442,,
Jayamahal,,JML,24018,Jayamahal (Towards Mekhri Circle),13.00034,77.59478,,
Jindal,,JNDL,26340,Jindal (Towards Nelamangala),13.05353,77.48338,,
KG Halli Post Office,,KGHPO,31054,KG Halli Post Office (Towards Abbigere),13.05691,77.53269,,
KG Halli Post Office,,KGHPO,33474,KG Halli Post Office (Towards Kammagondanahalli),13.05693,77.53272,,
KR Circle,,KRC5,20939,KR Circle (Towards Corporation),12.97386,77.58661,,
KR Market,,KRMRK,22199,KR Market (Towards Town hall),12.96437,77.57736,,
KR Market (Kalasipalya),,KRMRK,20944,KR Market (Kalasipalya) (Towards Departure),12.95916,77.57711,,
KR Market (Kalasipalya),,KRMRK,20945,KR Market (Kalasipalya) (Towards Arrival),12.96154,77.57736,,
KR Pura Bus Stand,,KRPG,20946,KR Pura Bus Stand (Towards KR Pura),13.00798,77.69271,,
KR Pura Market,,KRPG,22207,KR Pura Market (Towards Hosakote),13.00841,77.69403,,
KR Pura Railway Station,,KR RLY,21112,KR Pura Railway Station (Towards Hope Farm),13.00022,77.67597,,
KR Pura Railway Station,,KR RLY,21113,KR Pura Railway Station (Towards Tin Factory),12.99998,77.67654,,
KR Pura Railway Station,,KRPRST,35933,KR Pura Railway Station (Towards B Channasandra),13.00133,77.67814,,
Kadiganahalli Gate,,KDHG11,30568,Kadiganahalli Gate (Towards Yalahanka),13.16825,77.63162,,
Kadugodi Bridge,,KDB-1,20900,Kadugodi Bridge (Towards Hope Farm),12.99439,77.75775,,
Kadugodi Bridge,,KDB-1,20901,Kadugodi Bridge (Towards Hoskote),12.99448,77.75769,,
Kadugodi Bus Station,,KDB-1,20902,Kadugodi Bus Station (Towards Kadugodi),12.99563,77.75855,,
Kalamandira Marathahalli Bridge,,MRHB3,22670,Kalamandira Marathahalli Bridge (Towards Hebbala),12.96038,77.70135,,
Kalikanagara Shiva Temple,,KLKTDS,30639,Kalikanagara Shiva Temple (Towards Peenya 2nd Stage),13.0087,77.49017,,
Kalikanagara Shiva Temple,,KLKTDS,33262,Kalikanagara Shiva Temple (Towards Andrahalli),13.00866,77.4902,,
Kalyananagara,,KLNGRA,20903,Kalyananagara (Towards Tin Factory),13.02654,77.63688,,
Kalyananagara,,KLNGRA,20904,Kalyananagara (Towards Hebbala),13.0264,77.63642,,
Kalyananagara 80 feet Road,,KL80F,20588,Kalyananagara 80 feet Road (Towards Tin Factory),13.02564,77.6406,,
Kalyananagara 80 feet Road,,KL80F,21450,Kalyananagara 80 feet Road (Towards Hebbala),13.02546,77.64042,,
Kammagondanahalli Bridge,,KMGBR,22144,Kammagondanahalli Bridge (Towards Jalahalli Cross),13.05486,77.53482,,
Kammagondanahalli Bridge,,KMGBR,36601,Kammagondanahalli Bridge (Towards Jalahalli Cross.),13.05454,77.53273,,
Kammagondanahalli Bridge,,KMGBR,36602,Kammagondanahalli Bridge (Towards HMT Aditorium),13.05457,77.53276,,
Kammagondanahalli Rama Temple,,KMDRTL1,30714,Kammagondanahalli Rama Temple (Towards Abbigere),13.06372,77.53064,,
Kammagondanahalli Rama Temple,,KMDRTL1,33297,Kammagondanahalli Rama Temple (Towards Kammagondanahalli),13.06377,77.53068,,
Kammagonda‌nahalli Bridge,,KMGBR,22143,Kammagonda‌nahalli Bridge (Towards Gangamma Circle),13.05495,77.53474,,
Kannamangala Gate,,KMGT,33323,Kannamangala Gate (Towards Devanahalli),13.20708,77.66833,,
Kannamangala Gate,,KMGT,33324,Kannamangala Gate (Towards Yalahanka),13.20729,77.66878,,
Kanteerava Studio,,KTRVS,30792,Kanteerava Studio (Towards Goraguntepalya Ring Road),13.02154,77.53531,,
Kanteerava Studio,,KTRVS,33341,Kanteerava Studio (Towards Mahalakshmi Layout),13.0216,77.53529,,
Kanteerava Studio,,KTRVS,33342,Kanteerava Studio (Towards Summanahalli),13.02138,77.53252,,
Kanteerava Studio,,KTRVS,35056,Kanteerava Studio (Towards Laggere Arch),13.02175,77.53196,,
Kari Obanahalli,,KROBH,30831,Kari Obanahalli (Towards 8th Mile),13.02497,77.48651,,
Kari Obanahalli,,KROBH,33363,Kari Obanahalli (Towards Thigalarapalya),13.02495,77.48656,,
Karthik Nagara,,KTNH3,20912,Karthik Nagara (Towards Marathahalli Bridge),12.96821,77.7017,,
Karthik Nagara,,KTNH3,20913,Karthik Nagara (Towards Hebbala),12.96818,77.70147,,
Kasthurinagara,,KSTN,20914,Kasthurinagara (Towards Tin Factory),13.004,77.66328,,
Kasthurinagara,,KSTN,20915,Kasthurinagara (Towards Hebbala),13.00404,77.66315,,
Kebbahala,,KBAL2,22691,Kebbahala (Towards Sunkadakatte),12.9856,77.50347,,
Kempaiahnagara,,KMNR1,33416,Kempaiahnagara (Towards Thorenagasandra Cross),13.10822,77.48248,,
Kempapura,,KMPR,20919,Kempapura (Towards Tin Factory),13.04379,77.6005,,
Kempapura,,KMPR,20920,Kempapura (Towards Hebbala),13.0436,77.60121,,
Kempapura,,kmp2,33429,Kempapura (Towards Kumbarahalli),13.09465,77.49964,,
Kempegowda Arch,,KGDA,30988,Kempegowda Arch (Towards Summanahalli),13.00174,77.52556,,
Kempegowda Arch,,KGDA,33443,Kempegowda Arch (Towards Goraguntepalya),13.00171,77.52538,,
Kempegowda Bus Station,,KBS1,20921,Kempegowda Bus Station (Towards Departure),12.97751,77.57141,,
Kempegowda Bus Station,,KBS1,20922,Kempegowda Bus Station (Towards Arrival),12.97749,77.57327,,
Kempegowda Bus Station - Platform 7,20921_ST,KBS1,20921_PF7,,12.978113,77.57216,,7
Kempegowda Bus Station(Majestic/KBS),,KBS1,35931,Kempegowda Bus Station(Majestic/KBS) (Towards Central),12.97793,77.57389,,
Kempegowda/Chethan Circle,,KGC4,40683,Kempegowda/Chethan Circle (Towards Andhrahalli),13.00951,77.49706,,
Kempegowda/Chethan Circle,,KGC4,40684,Kempegowda/Chethan Circle (Towards Peenya 2nd Stage),13.00947,77.49714,,
Kendriya Vidyalaya,,KNDV,22163,Kendriya Vidyalaya (Towards Gangamma Circle),13.06556,77.54428,,
Kendriya Vidyalaya,,KNDV,22164,Kendriya Vidyalaya (Towards MS Palya),13.06541,77.54415,,
Kendriya Vihara,,KNV,33453,Kendriya Vihara (Towards Devanahalli),13.10653,77.60161,,
Kendriya Vihara,,KNV,33454,Kendriya Vihara (Towards Hebbala),13.10643,77.60213,,
Kere Guddadahalli,,KRGDH,33463,Kere Guddadahalli (Towards Somashettihalli),13.0795,77.51555,,
Kere Guddadahalli,,KRGDH,33464,Kere Guddadahalli (Towards Chikkabanavara),13.07927,77.51574,,
Kodays Circle,,kcle,22698,Kodays Circle (Towards Maharanis College),12.98022,77.57151,,
Kodihalli,,KDHL1,22178,Kodihalli (Towards HAL),12.96,77.64758,,
Kogilu Cross,,KGLCRS,22184,Kogilu Cross (Towards Hebbala),13.10398,77.60084,,
Kogilu Cross,,KGLCRS,31172,Kogilu Cross (Towards Devanahalli),13.10386,77.60028,,
Konena Agrahara,,KNNAG1,22193,Konena Agrahara (Towards HAL),12.95914,77.65962,,
Krishnananda Nagara,,KRNGR1,33585,Krishnananda Nagara (Towards Goraguntepalya Ring Road),13.01816,77.54127,,
Krishnananda Nagara,,KRNGR1,33586,Krishnananda Nagara (Towards Mahalakshmi Layout),13.01822,77.54127,,
Kumbarahalli Cross,,KMBRHC1,31388,Kumbarahalli Cross (Towards Kempapura),13.09677,77.49398,,
Kuvempu Circle,,KVPC,20961,Kuvempu Circle (Towards Hebbala),13.04465,77.56263,,
Kuvempu Circle,,KVPC,20962,Kuvempu Circle (Towards BEL Circle),13.04457,77.56281,,
Kuvempunagara,,KMPNG,33645,Kuvempunagara (Towards MS Palya),13.0696,77.54138,,
Kuvempunagara 2nd stage,,KMPNG2S1,29402,Kuvempunagara 2nd stage (Towards MS Palya),13.07313,77.54132,,
Laggere Bridge,,LGBDG,28439,Laggere Bridge (Towards Goraguntepalya),13.00843,77.52664,,
Laggere Bridge,,LGBDG,33650,Laggere Bridge (Towards Summanahalli),13.00756,77.52678,,
Laggere Cross,,LGRC1,28442,Laggere Cross (Towards Laggere),13.02252,77.52347,,
Laggere Cross,,LGRC1,33651,Laggere Cross (Towards Jalahalli Cross),13.02281,77.52313,,
Laggere Cross,,LGRC1,33652,Laggere Cross (Towards Kanteerava Studio),13.02253,77.52414,,
Laggere New Bus Stand,,LGR,28443,Laggere New Bus Stand (Towards Laggere New Bus Stand),13.01054,77.52504,,
Lingadeeranahalli Arch,,LDHA1,29566,Lingadeeranahalli Arch (Towards Vidyamanyanagara),12.99962,77.48869,,
Link Road,,LNKRD,20971,Link Road (Towards Kempegowda Bus Station),12.99426,77.57388,,
Lurdubayi Samudaya Bhavana,,CHWIN,28518,Lurdubayi Samudaya Bhavana (Towards Summanahalli),12.99723,77.52339,,
Lurdubayi Samudaya Bhavana,,CHWIN,33695,Lurdubayi Samudaya Bhavana (Towards Goraguntepalya),12.99752,77.52334,,
MEI Colony Laggere,,LGRMEIC,28964,MEI Colony Laggere (Towards Laggere),13.01998,77.52075,,
MEI Colony Laggere,,LGRMEIC,33916,MEI Colony Laggere (Towards Laggere Cross),13.01996,77.5207,,
MEI Factory,,MEIF,21016,MEI Factory (Towards Jalahalli Cross),13.0264,77.54402,,
MEI Factory,,MEIF,21017,MEI Factory (Towards Yashwanthapura bus station),13.02652,77.54439,,
MEI Layout Arch,,MEILOA,33918,MEI Layout Arch (Towards Bagalagunte),13.05999,77.50697,,
MES Road,,BELCRL,21570,MES Road (Towards Hebbala),13.04403,77.5543,,
MS Palya,,MSP1,22305,MS Palya (Towards Yalahanka),13.08178,77.54849,,
MS Palya,,MSP1,33957,MS Palya (Towards BEL Circle),13.08145,77.54831,,
MS Ramaiah College,,MSRC,22306,MS Ramaiah College (Towards Yashwanthapura bus station),13.02867,77.56161,,
MS Ramaiah College,,MSRC,22307,MS Ramaiah College (Towards Mathikere),13.02857,77.56162,,
Madanayakanahalli,,MDNH5,33724,Madanayakanahalli (Towards Nelamangala),13.06102,77.46102,,
Madavara,,MDVR,28598,Madavara (Towards Nelamangala),13.05665,77.47343,,
Mahadeshwara Nagara,,MDWN,33739,Mahadeshwara Nagara (Towards Nagarahole Nagara),12.99341,77.49454,,
Mahadevapura,,MDPRA,22237,Mahadevapura (Towards Hope Farm),12.99737,77.69066,,
Mahadevapura,,MDPRA,22238,Mahadevapura (Towards Kempegowda Bus Station),12.99716,77.69065,,
Mahadevapura Ring Road,,MDHPRG3,20977,Mahadevapura Ring Road (Towards Marathihalli Bridge),12.98823,77.6895,,
Mahadevapura Ring Road,,MDHPRG3,20978,Mahadevapura Ring Road (Towards Hebbala),12.98868,77.68904,,
Mahalakshmi Layout,,MLO3,24096,Mahalakshmi Layout (Towards Rajajinagara),13.012,77.54405,,
Mahalakshmi Layout,,MLO3,24191,Mahalakshmi Layout (Towards Shankarnag Bus Stand),13.01208,77.54401,,
Mahalakshmi Layout Entrance,,MGLY,20979,Mahalakshmi Layout Entrance (Towards Vijayanagara),13.00736,77.54879,,
Mahalakshmi Layout Entrance,,MGLY,20980,Mahalakshmi Layout Entrance (Towards Yashwanthapura bus station),13.00782,77.54867,,
Mahalakshmi Layout Entrance,,MGLY,24188,Mahalakshmi Layout Entrance (Towards Nandini Layout),13.00779,77.548,,
Maharani College,,KRC-MYSbnk,20981,Maharani College (Towards Corporation),12.97703,77.5858,,
Makali,,MKL2,33748,Makali (Towards Nelamangala),13.06564,77.45325,,
Malleshwara 8th Cross,,MLESHW,20589,Malleshwara 8th Cross (Towards Kempegowda Bus Station),12.99969,77.56933,,
Malleshwara 8th Cross (Sampige Road),,MLM8,20590,Malleshwara 8th Cross (Sampige Road) (Towards Yeshwanthapura),13.00009,77.57131,,
Malleshwara Circle,,MALLC,20989,Malleshwara Circle (Towards Link Road),12.99727,77.56945,,
Malleshwara Circle,,MLMC,20988,Malleshwara Circle (Towards Yashwanthapura),12.99782,77.5714,,
Malleshwaram 11th Cross,,MLM11,20562,Malleshwaram 11th Cross (Towards Kempegowda Bus Station),13.00238,77.5693,,
Malleshwaram 13th Cross,,MLM13th,20564,Malleshwaram 13th Cross (Towards Kempegowda Bus Station),13.00408,77.56923,,
Malleshwaram 15th Cross,,MLM15,20570,Malleshwaram 15th Cross (Towards Yeshwanthapura),13.00541,77.57119,,
Malleshwaram 18th Cross,,MLM 18thC,20573,Malleshwaram 18th Cross (Towards Malleshwara Circle),13.00894,77.56918,,
Malleshwaram 18th Cross,,STL,20574,Malleshwaram 18th Cross (Towards Yashwanthapura Bus station),13.00906,77.57112,,
Malleshwaram11th Cross,,MLM11C,20561,Malleshwaram11th Cross (Towards Malleshwaram 18th Cross),13.00233,77.57133,,
Maniksha Parade Ground,,MPG,22253,Maniksha Parade Ground (Towards Halasuru),12.97773,77.60747,,
Manipal Centre,,MNIPLC,22254,Manipal Centre (Towards MG Road),12.97493,77.61436,,
Manjushree Garments PSS,,MNJSG,36491,Manjushree Garments PSS (Towards Peenya 2 Stage),13.01393,77.49938,,
Manyatha Tech Park,,MYBP2,20998,Manyatha Tech Park (Towards Tin Factory),13.0412,77.62095,,
Manyatha Tech Park,,MYBP2,20999,Manyatha Tech Park (Towards Hebbala),13.04106,77.61999,,
Marathahalli Bridge,,MTHB,33843,Marathahalli Bridge (Towards Hebbala),12.95488,77.70053,,
Marathahalli Bridge,,MTHB,35409,Marathahalli Bridge (Towards Kadu bisanahalli),12.95671,77.70131,,
Marison Factory,,MRSNF,28839,Marison Factory (Towards Nelamangala),13.0502,77.49252,,
Maruthi Nagara,,MRTN,33862,Maruthi Nagara (Towards Nagarahole Nagara),12.99124,77.49417,,
Mathikere,,MTKR1,22276,Mathikere (Towards Yashwanthapura bus station),13.03467,77.55748,,
Mathikere,,MTKR1,22277,Mathikere (Towards BEL Circle),13.03455,77.55741,,
Mayohall,,MYH1,22279,Mayohall (Towards HAL),12.97349,77.61051,,
