stop_name,parent_station,zone_id,stop_id,stop_desc,stop_lat,stop_lon,location_type,platform_code
Vinayaka Nagara,,VNKN,31842,Vinayaka Nagara (Towards MS Palya),13.0827,77.54308,,
Vinayaka Talkies,,VNYKT78,35396,Vinayaka Talkies (Towards KR Market),12.96374,77.56825,,
Vishwa Shanti Ashrama,,VSA1,27343,Vishwa Shanti Ashrama (Towards Nelamangala),13.08402,77.41724,,
Vivekananda College,,VVKC1,23326,Vivekananda College (Towards Navarang),13.00927,77.55449,,
WIMAC Junction,,WMK3,31636,WIMAC Junction (Towards Kammagondanahalli),13.06876,77.52998,,
WIMAC Junction,,WMK3,34846,WIMAC Junction (Towards Abbigere),13.06872,77.52996,,
Water Tank Chamarajapet,,CMWT,21272,Water Tank Chamarajapet (Towards Sirsi Circle),12.96038,77.56493,,
Weavers Colony Nelamangala,,WCNML,27377,Weavers Colony Nelamangala (Towards Nelamangala),13.09403,77.40561,,
Wheel And Axle Plant,,WHEL,31633,Wheel And Axle Plant (Towards Puttenahalli),13.10572,77.58241,,
Wheel And Axle Plant,,WHEL,34849,Wheel And Axle Plant (Towards Yalahanka NES Office),13.10603,77.58227,,
Widia Factory,,WDAF,23313,Widia Factory (Towards Nelamangala),13.04877,77.49664,,
Widia School,,WDAS1,21278,Widia School (Towards Chikkabanavara),13.0511,77.50773,,
Widia School,,WDAS1,21279,Widia School (Towards 8th Mile),13.05126,77.50786,,
Yarayyanapalya,,YYPL,22632,Yarayyanapalya (Towards KR Puram),13.01157,77.67326,,
Yarayyanapalya,,YYPL,22633,Yarayyanapalya (Towards B Channasandra),13.01149,77.67349,,
Yelahanka Santhe Circle,,YHKSC1,22643,Yelahanka Santhe Circle (Towards Kogilu Cross),13.09919,77.59731,,
Yelahanka Santhe Circle - Platform 1,22645_ST,YHKSC1,22645_PF1,,13.101021,77.5948,,1
Yelahanka Satellite Town,,YHKS2,22646,Yelahanka Satellite Town (Towards Mother Dairy Cross),13.0958,77.57921,,
Yelahanka Satellite Town,,YHKS2,22821,Yelahanka Satellite Town (Towards Chikkabommasandra Cross),13.09596,77.5791,,
Yeshawanthapura Ayyappa Temple,,AYPT1,21690,Yeshawanthapura Ayyappa Temple (Towards Yeshwanthapura TTMC),13.02164,77.56317,,
Yeshawanthapura Ayyappa Temple,,AYPT1,21691,Yeshawanthapura Ayyappa Temple (Towards Mathikere),13.02162,77.56312,,
Yeshawanthapura Bus Station,,YTTMC1,21288,Yeshawanthapura Bus Station (Towards Jalahalli Cross),13.01801,77.55662,,
Yeshawanthapura Bus Station,,YTTMC1,24016,Yeshawanthapura Bus Station (Towards Malleshwaram),13.01771,77.55657,,
Yeshawanthapura Bus Station - Platform 1,21288_ST,YTTMC1,21288_PF1,,13.017886,77.556755,,1
Yeshawanthapura Bus Station - Platform 2,21288_ST,YTTMC1,21288_PF2,,13.017938,77.55665,,2
Yeshawanthapura Circle,,YTTMC1,36187,Yeshawanthapura Circle (Towards Yeshawanthapura Tollgate),13.0186,77.55827,,
Yeshawanthapura Tollgate,,YTG,22564,Yeshawanthapura Tollgate (Towards Mathikere),13.01788,77.56092,,
Yeshawanthapura Tollgate,,YTG,22647,Yeshawanthapura Tollgate (Towards Yeshawanthapura),13.0179,77.56099,,
